iter	Passed	Remaining
411	4095	5844
412	4104	5834
413	4116	5826
414	4127	5817
415	4138	5809
416	4150	5802
417	4160	5792
418	4171	5783
419	4183	5776
420	4193	5767
421	4204	5758
422	4216	5751
423	4227	5742
424	4237	5732
425	4249	5725
426	4260	5716
427	4270	5707
428	4283	5700
429	4294	5693
430	4305	5683
431	4317	5676
432	4327	5667
433	4338	5657
434	4351	5651
435	4363	5644
436	4373	5634
437	4384	5625
438	4395	5617
439	4407	5609
440	4417	5599
441	4429	5591
442	4441	5583
443	4451	5574
444	4463	5566
445	4473	5556
446	4484	5547
447	4495	5538
448	4505	5528
449	4515	5518
450	4525	5509
451	4535	5499
452	4547	5490
453	4556	5480
454	4567	5470
455	4578	5461
456	4588	5451
457	4597	5440
458	4608	5431
459	4618	5421
460	4629	5413
461	4640	5404
462	4650	5393
463	4660	5384
464	4671	5374
465	4681	5364
466	4693	5356
467	4704	5347
468	4713	5337
469	4723	5326
470	4733	5316
471	4745	5308
472	4755	5298
473	4765	5288
474	4777	5280
475	4787	5270
476	4797	5259
477	4808	5251
478	4818	5241
479	4828	5231
480	4839	5221
481	4848	5210
482	4858	5200
483	4867	5189
484	4878	5180
485	4888	5170
486	4897	5158
487	4907	5148
488	4916	5137
489	4925	5127
490	4936	5117
491	4945	5106
492	4955	5096
493	4964	5085
494	4975	5075
495	4985	5065
496	4994	5054
497	5005	5045
498	5014	5035
499	5025	5025
500	5035	5015
501	5045	5005
502	5056	4995
503	5065	4985
504	5075	4975
505	5086	4965
506	5096	4955
507	5107	4946
508	5116	4936
509	5126	4925
510	5137	4916
511	5147	4906
512	5157	4896
513	5166	4885
514	5176	4875
515	5187	4865
516	5197	4855
517	5207	4845
518	5216	4834
519	5225	4823
520	5236	4813
521	5245	4803
522	5255	4793
523	5265	4782
524	5275	4772
525	5285	4762
526	5294	4751
527	5303	4741
528	5313	4730
529	5322	4720
530	5333	4710
531	5342	4699
532	5352	4689
533	5361	4679
534	5373	4670
535	5384	4661
536	5396	4653
537	5405	4642
538	5415	4631
539	5424	4621
540	5435	4611
541	5445	4601
542	5454	4590
543	5465	4580
544	5473	4569
545	5484	4560
546	5494	4550
547	5503	4539
548	5512	4528
549	5521	4517
550	5532	4508
551	5542	4498
552	5551	4487
553	5561	4477
554	5570	4466
555	5580	4456
556	5590	4445
557	5600	4436
558	5610	4425
559	5619	4415
560	5629	4405
561	5638	4394
562	5648	4384
563	5657	4373
564	5667	4363
565	5677	4353
566	5686	4342
567	5696	4332
568	5705	4322
569	5715	4311
570	5725	4301
571	5734	4290
572	5744	4281
573	5753	4270
574	5780	4272
575	5789	4261
576	5798	4250
577	5807	4240
578	5816	4229
579	5827	4219
580	5836	4209
581	5846	4199
582	5857	4189
583	5867	4179
584	5878	4170
585	5887	4159
586	5898	4149
587	5908	4139
588	5918	4130
589	5929	4120
590	5939	4110
591	5949	4100
592	5959	4089
593	5968	4079
594	5979	4069
595	5989	4060
596	5999	4049
597	6011	4040
598	6021	4031
599	6030	4020
600	6041	4011
601	6051	4001
602	6061	3990
603	6071	3980
604	6081	3970
605	6092	3960
606	6101	3950
607	6111	3940
608	6122	3930
609	6131	3920
610	6141	3910
611	6151	3899
612	6160	3889
613	6170	3879
614	6180	3868
615	6190	3859
616	6199	3848
617	6210	3839
618	6221	3829
619	6230	3818
620	6241	3809
621	6251	3798
622	6261	3788
623	6271	3779
624	6281	3768
625	6292	3759
626	6302	3749
627	6313	3739
628	6324	3730
629	6334	3720
630	6344	3710
631	6355	3700
632	6365	3690
633	6375	3680
634	6387	3671
635	6398	3661
636	6408	3652
637	6419	3642
638	6428	3632
639	6439	3622
640	6449	3612
641	6459	3601
642	6469	3591
643	6479	3581
644	6489	3571
645	6499	3561
646	6509	3551
647	6519	3541
648	6529	3531
649	6539	3521
650	6549	3511
651	6559	3501
652	6570	3491
653	6580	3481
654	6589	3470
655	6599	3460
656	6609	3450
657	6620	3441
658	6631	3431
